method_a,method_b,benchmark,condition,metric,value_a,value_b,difference,ci_lower,ci_upper,p_value,significant,effect_size,test_name
r2v@0.1,slm_only,textworld,noisy,success_rate,1.0,0.6460176991150443,0.35398230088495575,0.3185840707964602,0.39085545722713866,0.0,True,,mcnemar
r2v@0.1,llm_only,textworld,noisy,success_rate,1.0,1.0,0.0,0.0,0.0,1.0,False,,mcnemar
r2v@0.1,entropy_router,textworld,noisy,success_rate,1.0,0.6460176991150443,0.35398230088495575,0.3185840707964602,0.39085545722713866,0.0,True,,mcnemar
r2v@0.1,oracle_router,textworld,noisy,success_rate,1.0,1.0,0.0,0.0,0.0,1.0,False,,mcnemar
r2v@0.2,slm_only,textworld,noisy,success_rate,1.0,0.6460176991150443,0.35398230088495575,0.3185840707964602,0.39085545722713866,0.0,True,,mcnemar
r2v@0.2,llm_only,textworld,noisy,success_rate,1.0,1.0,0.0,0.0,0.0,1.0,False,,mcnemar
r2v@0.2,entropy_router,textworld,noisy,success_rate,1.0,0.6460176991150443,0.35398230088495575,0.3185840707964602,0.39085545722713866,0.0,True,,mcnemar
r2v@0.2,oracle_router,textworld,noisy,success_rate,1.0,1.0,0.0,0.0,0.0,1.0,False,,mcnemar
r2v@0.3,slm_only,textworld,noisy,success_rate,1.0,0.6460176991150443,0.35398230088495575,0.3185840707964602,0.39085545722713866,0.0,True,,mcnemar
r2v@0.3,llm_only,textworld,noisy,success_rate,1.0,1.0,0.0,0.0,0.0,1.0,False,,mcnemar
r2v@0.3,entropy_router,textworld,noisy,success_rate,1.0,0.6460176991150443,0.35398230088495575,0.3185840707964602,0.39085545722713866,0.0,True,,mcnemar
r2v@0.3,oracle_router,textworld,noisy,success_rate,1.0,1.0,0.0,0.0,0.0,1.0,False,,mcnemar
r2v@0.4,slm_only,textworld,noisy,success_rate,1.0,0.6460176991150443,0.35398230088495575,0.3185840707964602,0.39085545722713866,0.0,True,,mcnemar
r2v@0.4,llm_only,textworld,noisy,success_rate,1.0,1.0,0.0,0.0,0.0,1.0,False,,mcnemar
r2v@0.4,entropy_router,textworld,noisy,success_rate,1.0,0.6460176991150443,0.35398230088495575,0.3185840707964602,0.39085545722713866,0.0,True,,mcnemar
r2v@0.4,oracle_router,textworld,noisy,success_rate,1.0,1.0,0.0,0.0,0.0,1.0,False,,mcnemar
r2v@0.5,slm_only,textworld,noisy,success_rate,1.0,0.6460176991150443,0.35398230088495575,0.3185840707964602,0.39085545722713866,0.0,True,,mcnemar
r2v@0.5,llm_only,textworld,noisy,success_rate,1.0,1.0,0.0,0.0,0.0,1.0,False,,mcnemar
r2v@0.5,entropy_router,textworld,noisy,success_rate,1.0,0.6460176991150443,0.35398230088495575,0.3185840707964602,0.39085545722713866,0.0,True,,mcnemar
r2v@0.5,oracle_router,textworld,noisy,success_rate,1.0,1.0,0.0,0.0,0.0,1.0,False,,mcnemar
r2v@0.6,slm_only,textworld,noisy,success_rate,1.0,0.6460176991150443,0.35398230088495575,0.3185840707964602,0.39085545722713866,0.0,True,,mcnemar
r2v@0.6,llm_only,textworld,noisy,success_rate,1.0,1.0,0.0,0.0,0.0,1.0,False,,mcnemar
r2v@0.6,entropy_router,textworld,noisy,success_rate,1.0,0.6460176991150443,0.35398230088495575,0.3185840707964602,0.39085545722713866,0.0,True,,mcnemar
r2v@0.6,oracle_router,textworld,noisy,success_rate,1.0,1.0,0.0,0.0,0.0,1.0,False,,mcnemar
r2v@0.7,slm_only,textworld,noisy,success_rate,1.0,0.6460176991150443,0.35398230088495575,0.3185840707964602,0.39085545722713866,0.0,True,,mcnemar
r2v@0.7,llm_only,textworld,noisy,success_rate,1.0,1.0,0.0,0.0,0.0,1.0,False,,mcnemar
r2v@0.7,entropy_router,textworld,noisy,success_rate,1.0,0.6460176991150443,0.35398230088495575,0.3185840707964602,0.39085545722713866,0.0,True,,mcnemar
r2v@0.7,oracle_router,textworld,noisy,success_rate,1.0,1.0,0.0,0.0,0.0,1.0,False,,mcnemar
r2v@0.8,slm_only,textworld,noisy,success_rate,1.0,0.6460176991150443,0.35398230088495575,0.3185840707964602,0.39085545722713866,0.0,True,,mcnemar
r2v@0.8,llm_only,textworld,noisy,success_rate,1.0,1.0,0.0,0.0,0.0,1.0,False,,mcnemar
r2v@0.8,entropy_router,textworld,noisy,success_rate,1.0,0.6460176991150443,0.35398230088495575,0.3185840707964602,0.39085545722713866,0.0,True,,mcnemar
r2v@0.8,oracle_router,textworld,noisy,success_rate,1.0,1.0,0.0,0.0,0.0,1.0,False,,mcnemar
r2v@0.9,slm_only,textworld,noisy,success_rate,0.9985250737463127,0.6460176991150443,0.35250737463126847,0.31710914454277284,0.3893805309734513,0.0,True,,mcnemar
r2v@0.9,llm_only,textworld,noisy,success_rate,0.9985250737463127,1.0,-0.001474926253687281,-0.0058997050147492625,0.0,1.0,False,,mcnemar
r2v@0.9,entropy_router,textworld,noisy,success_rate,0.9985250737463127,0.6460176991150443,0.35250737463126847,0.31710914454277284,0.3893805309734513,0.0,True,,mcnemar
r2v@0.9,oracle_router,textworld,noisy,success_rate,0.9985250737463127,1.0,-0.001474926253687281,-0.0058997050147492625,0.0,1.0,False,,mcnemar
