method,benchmark,condition,seed,success_rate,success_rate_ci,worst_seed_sr,cvar_failure,bottom_10_sr,avg_cost,avg_latency,llm_call_rate,safety_failure_rate,ece,brier
r2v,textworld,noisy,0,0.9980,"[0.995, 1.000]",0.9980,0.0020,,604.0853,,0.3976,,0.0426,0.1036
slm_only,textworld,noisy,0,0.6520,"[0.627, 0.674]",0.6520,0.3480,,17.0000,,0.0000,,,
llm_only,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,850.0000,,1.0000,,,
entropy_router,textworld,noisy,0,0.6520,"[0.627, 0.674]",0.6520,0.3480,,17.0000,,0.0000,,,
oracle_router,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,611.6640,,0.3480,,,
heuristic_router,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,850.0000,,1.0000,,,
r2v,textworld,noisy,0,0.9980,"[0.995, 1.000]",,,,604.0853,,0.3976,,,
slm_only,textworld,noisy,0,0.6520,"[0.627, 0.674]",,,,17.0000,,0.0000,,,
llm_only,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,850.0000,,1.0000,,,
entropy_router,textworld,noisy,0,0.6520,"[0.627, 0.674]",,,,17.0000,,0.0000,,,
oracle_router,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,611.6640,,0.3480,,,
heuristic_router,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,850.0000,,1.0000,,,
